ID,CODIGO,DESCRIÇÃO DOS SERVIÇOS,QUANTIDADE,PREÇO UNITÁRIO,UNIDADE,PREÇO TOTAL
581768,5298-0500-1,PB Classe LFO,"20,06","R$ 109,59",PO,"R$ 2.198,38"
581768,5298-0584-7,PB Classe CFO,"4,56","R$ 269,19",PO,"R$ 1.227,51"
582556,5298-0500-1,PB Classe LFO,"5,71","R$ 109,59",PO,"R$ 626,31"
582556,5298-0507-3,PB Classe BFO,"0,34","R$ 152,89",PO,"R$ 51,98"
582556,5298-0584-7,PB Classe CFO,"1,41","R$ 269,19",PO,"R$ 379,56"
582556,5298-0589-8,PB Classe P,"1,14","R$ 78,50",PP,"R$ 89,78"
582539,5298-0500-1,PB Classe LFO,"33,42","R$ 109,59",PO,"R$ 3.662,50"
582539,5298-0584-7,PB Classe CFO,"4,63","R$ 269,19",PO,"R$ 1.246,35"
582539,5298-0589-8,PB Classe P,"6,91","R$ 78,50",PP,"R$ 542,53"
526964,5298-0500-1,PB Classe LFO,"122,94","R$ 85,27",PO,"R$ 10.483,09"
526964,5298-0584-7,PB Classe CFO,"19,39","R$ 190,65",PO,"R$ 3.696,70"
529311,5298-0500-1,PB Classe LFO,"20,32","R$ 85,27",PO,"R$ 1.732,69"
529311,5298-0584-7,PB Classe CFO,"8,85","R$ 190,65",PO,"R$ 1.687,25"
529311,5298-0587-1,PB Classe L,"12,00","R$ 58,89",PO,"R$ 706,68"
569470,5298-0500-1,PB Classe LFO,"10,70","R$ 108,55",PO,"R$ 1.161,49"
569470,5298-0584-7,PB Classe CFO,"8,36","R$ 266,63",PO,"R$ 2.229,03"
569470,5298-0587-1,PB Classe L,"55,10","R$ 76,86",PO,"R$ 4.234,99"
569470,5298-0589-8,PB Classe P,"1,88","R$ 77,76",PP,"R$ 145,80"
556043,5298-0500-1,PB Classe LFO,"19,20","R$ 108,55",PO,"R$ 2.084,16"
